season,rank,name
3,1,ハバタクカミ
3,2,カイリュー
3,3,サーフゴー
3,4,セグレイブ
3,5,テツノドクガ
3,6,ドドゲザン
3,7,テツノツツミ
3,8,ミミッキュ
3,9,ヘイラッシャ
3,10,ロトム
3,11,テツノブジン
3,12,ハッサム
3,13,トドロクツキ
3,14,ラウドボーン
3,15,キョジオーン
3,16,ガブリアス
3,17,ドラパルト
3,18,マスカーニャ
3,19,コノヨザル
3,20,テツノカイナ
3,21,アーマーガア
3,22,イダイナキバ
3,23,ジバコイル
3,24,キノガッサ
3,25,サザンドラ
3,26,ウルガモス
3,27,クエスパトラ
3,28,ドオー
3,29,カバルドン
3,30,ブラッキー
3,31,イルカマン
3,32,デカヌチャン
3,33,マリルリ
3,34,キラフロル
3,35,ニンフィア
3,36,サケブシッポ
3,37,アラブルタケ
3,38,ソウブレイズ
3,39,ハラバリー
3,40,ロトム
3,41,オーロンゲ
3,42,バンギラス
3,43,グレンアルマ
3,44,コータス
3,45,テツノワダチ
3,46,スナノケガワ
3,47,チヲハウハネ
3,48,ギャラドス
3,49,ボーマンダ
3,50,ゲンガー
3,51,ドヒドイデ
3,52,バンバドロ
3,53,ハピナス
3,54,パーモット
3,55,ミミズズ
3,56,モロバレル
3,57,エーフィ
3,58,ウェーニバル
3,59,オリーヴァ
3,60,ルカリオ
3,61,ペリッパー
3,62,ウインディ
3,63,オノノクス
3,64,ヌメルゴン
3,65,パルシェン
3,66,エルレイド
3,67,ブリムオン
3,68,クレベース
3,69,トリトドン
3,70,ドンファン
3,71,ドータクン
3,72,ユキノオー
3,73,シャワーズ
3,74,テツノコウベ
3,75,サーナイト
3,76,イッカネズミ
3,77,ノココッチ
3,78,ポットデス
3,79,ルガルガン
3,80,フワライド
3,81,テツノイバラ
3,82,サンダース
3,83,ケンタロス
3,84,ハカドッグ
3,85,モスノウ
3,86,タギングル
3,87,ゾロアーク
3,88,ハリテヤマ
3,89,ファイアロー
3,90,ロトム
3,91,リククラゲ
3,92,ムクホーク
3,93,ヤミラミ
3,94,グレイシア
3,95,エクスレッグ
3,96,クレッフィ
3,97,イエッサン
3,98,ケンタロス
3,99,ラッキー
3,100,ゴチルゼル
3,101,アマージョ
3,102,ブロスター
3,103,タイカイデン
3,104,フォレトス
3,105,フローゼル
3,106,ベトベトン
3,107,シビルドン
3,108,フラージェス
3,109,モトトカゲ
3,110,ブロロローム
3,111,ルチャブル
3,112,ストリンダー
3,113,リーフィア
3,114,ヤドキング
3,115,リキキリン
3,116,メタモン
3,117,タルップル
3,118,バチンウニ
3,119,ヤドラン
3,120,ドラミドロ
3,121,スコヴィラン
3,122,イエッサン
3,123,ヘルガー
3,124,ワルビアル
3,125,ワタッコ
3,126,カラミンゴ
3,127,マニューラ
3,128,ハルクジラ
3,129,エンニュート
3,130,オンバーン
3,131,オニゴーリ
3,132,ビビヨン
3,133,アメモース
3,134,ストリンダー
3,135,チルタリス
3,136,ヘラクロス
3,137,キリキザン
3,138,リングマ
3,139,ママンボウ
3,140,ミカルゲ
3,141,シャリタツ
3,142,レントラー
3,143,ムウマージ
3,144,ブースター
3,145,ユキメノコ
3,146,ドンカラス
3,147,オトシドリ
3,148,チャーレム
3,149,セキタンザン
3,150,ドレディア
